"num_bu","cod_entite_geo","typ_entite_geo","cod_version","menrp","pop_mun"
1,"0200100","QLM","2021",198,498
1,"0200200","QLM","2021",237,598
1,"0200300","QLM","2021",406,1012
1,"0200400","QLM","2021",79,177
1,"0200500","QLM","2021",151,384
1,"0200600","QLM","2021",115,255
1,"0200700","QLM","2021",53,125
1,"0200800","QLM","2021",109,291
1,"0200900","QLM","2021",207,543
1,"0201000","QLM","2021",68,177
1,"0201100","QLM","2021",476,1155
1,"0201200","QLM","2021",28,70
1,"0201300","QLM","2021",158,404
1,"0201400","QLM","2021",292,744
1,"0201500","QLM","2021",29,75
1,"0201600","QLM","2021",90,228
1,"0201700","QLM","2021",117,315
1,"0201800","QLM","2021",1076,2533
1,"0201900","QLM","2021",152,364
1,"0202000","QLM","2021",192,456
1,"0202100","QLM","2021",39,87
1,"0202200","QLM","2021",165,403
1,"0202300","QLM","2021",45,103
1,"0202400","QLM","2021",23,53
1,"0202500","QLM","2021",137,371
1,"0202700","QLM","2021",103,222
1,"0202800","QLM","2021",1097,2604
1,"0202900","QLM","2021",146,363
1,"0203000","QLM","2021",114,269
1,"0203100","QLM","2021",289,657
1,"0203200","QLM","2021",96,253
1,"0203300","QLM","2021",49,105
1,"0203400","QLM","2021",45,118
1,"0203500","QLM","2021",104,279
1,"0203600","QLM","2021",38,82
1,"0203700","QLM","2021",565,1422
1,"0203800","QLM","2021",27,57
1,"0203900","QLM","2021",57,169
1,"0204000","QLM","2021",70,178
1,"0204100","QLM","2021",334,814
1,"0204200","QLM","2021",166,389
1,"0204300","QLM","2021",28,69
1,"0204400","QLM","2021",12,26
1,"0204600","QLM","2021",238,555
1,"0204700","QLM","2021",49,114
1,"0204800","QLM","2021",58,134
1,"0204900","QLM","2021",309,740
1,"0205000","QLM","2021",128,330
1,"0205100","QLM","2021",162,384
1,"0205200","QLM","2021",62,139
1,"0205300","QLM","2021",244,570
1,"0205400","QLM","2021",174,460
1,"0205500","QLM","2021",41,92
1,"0205600","QLM","2021",70,177
1,"0205700","QLM","2021",546,1424
1,"0205800","QLM","2021",322,844
1,"0205900","QLM","2021",1197,2699
1,"0206000","QLM","2021",111,268
1,"0206100","QLM","2021",87,250
1,"0206200","QLM","2021",51,136
1,"0206300","QLM","2021",151,381
1,"0206400","QLM","2021",1654,3810
1,"0206500","QLM","2021",243,602
1,"0206600","QLM","2021",90,204
1,"0206700","QLM","2021",89,213
1,"0206800","QLM","2021",43,103
1,"0206900","QLM","2021",47,111
1,"0207000","QLM","2021",177,452
1,"0207100","QLM","2021",257,651
1,"0207200","QLM","2021",81,188
1,"0207300","QLM","2021",240,653
1,"0207400","QLM","2021",237,604
1,"0207500","QLM","2021",79,199
1,"0207600","QLM","2021",59,162
1,"0207700","QLM","2021",161,385
1,"0207800","QLM","2021",60,160
1,"0207900","QLM","2021",67,152
1,"0208000","QLM","2021",150,350
1,"0208100","QLM","2021",158,440
1,"0208200","QLM","2021",46,111
1,"0208300","QLM","2021",304,749
1,"0208400","QLM","2021",106,260
1,"0208500","QLM","2021",356,1043
1,"0208600","QLM","2021",434,1048
1,"0208700","QLM","2021",13,30
1,"0208800","QLM","2021",34,88
1,"0208900","QLM","2021",500,1154
1,"0209000","QLM","2021",81,213
1,"0209100","QLM","2021",45,106
1,"0209300","QLM","2021",537,1290
1,"0209400","QLM","2021",177,447
1,"0209500","QLM","2021",2380,5664
1,"0209600","QLM","2021",82,201
1,"0209700","QLM","2021",105,259
1,"0209800","QLM","2021",147,375
1,"0209900","QLM","2021",96,236
1,"0210000","QLM","2021",52,137
1,"0210100","QLM","2021",78,193
1,"0210200","QLM","2021",72,187
1,"0210300","QLM","2021",583,1324
1,"0210400","QLM","2021",43,102
1,"0210500","QLM","2021",75,202
1,"0210600","QLM","2021",288,822
1,"0210700","QLM","2021",41,103
1,"0210800","QLM","2021",64,158
1,"0210900","QLM","2021",207,486
1,"0211000","QLM","2021",936,2213
1,"0211100","QLM","2021",274,708
1,"0211200","QLM","2021",236,565
1,"0211400","QLM","2021",601,1529
1,"0211500","QLM","2021",91,203
1,"0211600","QLM","2021",59,146
1,"0211700","QLM","2021",26,67
1,"0211800","QLM","2021",47,121
1,"0211900","QLM","2021",138,340
1,"0212000","QLM","2021",74,195
1,"0212100","QLM","2021",95,244
1,"0212200","QLM","2021",26,53
1,"0212300","QLM","2021",129,303
1,"0212400","QLM","2021",285,653
1,"0212500","QLM","2021",72,213
1,"0212600","QLM","2021",206,456
1,"0212700","QLM","2021",82,189
1,"0212800","QLM","2021",681,1532
1,"0212900","QLM","2021",10,19
1,"0213000","QLM","2021",81,193
1,"0213100","QLM","2021",766,1880
1,"0213200","QLM","2021",81,203
1,"0213300","QLM","2021",181,411
1,"0213400","QLM","2021",366,869
1,"0213500","QLM","2021",469,1168
1,"0213600","QLM","2021",52,128
1,"0213700","QLM","2021",53,152
1,"0213800","QLM","2021",74,190
1,"0213900","QLM","2021",177,438
1,"0214000","QLM","2021",171,454
1,"0214100","QLM","2021",806,1788
1,"0214200","QLM","2021",88,244
1,"0214300","QLM","2021",84,192
1,"0214400","QLM","2021",54,145
1,"0214500","QLM","2021",223,546
1,"0214600","QLM","2021",36,87
1,"0214800","QLM","2021",104,258
1,"0214900","QLM","2021",23,67
1,"0215000","QLM","2021",28,64
1,"0215100","QLM","2021",54,115
1,"0215200","QLM","2021",39,89
1,"0215300","QLM","2021",325,763
1,"0215400","QLM","2021",141,361
1,"0215500","QLM","2021",82,174
1,"0215600","QLM","2021",98,253
1,"0215700","QLM","2021",360,848
1,"0215800","QLM","2021",114,284
1,"0215900","QLM","2021",117,280
1,"0216000","QLM","2021",223,539
1,"0216200","QLM","2021",99,278
1,"0216300","QLM","2021",1108,2617
1,"0216400","QLM","2021",127,316
1,"0216500","QLM","2021",725,1652
1,"0216600","QLM","2021",153,352
1,"0216700","QLM","2021",342,881
1,"0216800","QLM","2021",7048,15107
1,"0216900","QLM","2021",33,83
1,"0217000","QLM","2021",59,127
1,"0217100","QLM","2021",34,87
1,"0217200","QLM","2021",90,249
1,"0217300","QLM","2021",5522,11878
1,"0217400","QLM","2021",321,818
1,"0217500","QLM","2021",61,150
1,"0217600","QLM","2021",76,205
1,"0217700","QLM","2021",57,142
1,"0217800","QLM","2021",43,106
1,"0217900","QLM","2021",160,392
1,"0218000","QLM","2021",280,710
1,"0218100","QLM","2021",38,80
1,"0218200","QLM","2021",55,125
1,"0218300","QLM","2021",78,187
1,"0218400","QLM","2021",128,355
1,"0218500","QLM","2021",160,404
1,"0218600","QLM","2021",574,1353
1,"0218700","QLM","2021",491,1109
1,"0218800","QLM","2021",67,149
1,"0218900","QLM","2021",149,362
1,"0219000","QLM","2021",218,530
1,"0219100","QLM","2021",209,510
1,"0219200","QLM","2021",141,370
1,"0219300","QLM","2021",29,66
1,"0219400","QLM","2021",86,193
1,"0219500","QLM","2021",337,930
1,"0219600","QLM","2021",133,314
1,"0219700","QLM","2021",215,552
1,"0219800","QLM","2021",91,228
1,"0219900","QLM","2021",251,635
1,"0220000","QLM","2021",46,120
1,"0220100","QLM","2021",135,438
1,"0220300","QLM","2021",531,1310
1,"0220400","QLM","2021",36,68
1,"0220500","QLM","2021",87,248
1,"0220600","QLM","2021",29,78
1,"0220700","QLM","2021",85,214
1,"0220800","QLM","2021",106,278
1,"0220900","QLM","2021",281,685
1,"0221000","QLM","2021",144,360
1,"0221100","QLM","2021",122,285
1,"0221200","QLM","2021",285,707
1,"0221300","QLM","2021",130,332
1,"0221400","QLM","2021",21,61
1,"0221500","QLM","2021",311,801
1,"0221600","QLM","2021",125,306
1,"0221700","QLM","2021",401,1014
1,"0221800","QLM","2021",251,624
1,"0221900","QLM","2021",75,219
1,"0222000","QLM","2021",183,436
1,"0222100","QLM","2021",61,149
1,"0222200","QLM","2021",12,31
1,"0222300","QLM","2021",127,300
1,"0222400","QLM","2021",134,350
1,"0222500","QLM","2021",36,88
