num_bu,cod_entite_geo,typ_entite_geo,cod_version,lat_wgs84,long_wgs84,x_centroide,y_centroide,cod_sys_coor,cod_conc,cod_ens_conc,lib_mag,lib_adr001,lib_adr002,lib_adr003,cod_pst,dpt,lib_vil,cod_pays,dat_ouv,nbr_surf_mag_tot
1,5965400,QLM,2021,50.393509,3.1145875,655383.273,2600095.925,LAMBERT II,153032,LEROY MERLIN,LEROY MERLIN WAZIERS,zac du Bas Terroir,AV DE COMMERCE ET DE L'ARTISANAT,,59119,59,WAZIERS,FRA,16/02/2015,15050
1,5956400,QLM,2021,50.3384631,3.4654137,680464.6569,2594265.05,LAMBERT II,153016,LEROY MERLIN,LEROY MERLIN LA SENTINELLE,,AV JEAN JAURES,,59174,59,LA SENTINELLE,FRA,16/02/1993,18000
1,5929100,QLM,2021,50.2548363,3.9336799,714047.8014,2585527.027,LAMBERT II,153072,LEROY MERLIN,LEROY MERLIN HAUTMONT,CC Auchan,RUE DE L'ESPERANCE,,59330,59,HAUTMONT,FRA,01/03/1971,10000
1,5934600,QLM,2021,50.6140489,3.1273203,656043.2952,2624685.893,LAMBERT II,152987,LEROY MERLIN,LEROY MERLIN LEZENNES,zac de Valmy,RUE DE VERSAILLES,,59650,59,LEZENNES,FRA,15/06/1993,14000
1,5927103,QLM,2021,51.0073371,2.2799037,595965.6682,2668261.817,LAMBERT II,153010,LEROY MERLIN,LEROY MERLIN GRANDE SYNTHE,cc auchan,N 1,,59760,59,GRANDE SYNTHE,FRA,08/05/1976,8000
1,5934300,QLM,2021,50.5866912,3.089448,653386.1822,2621609.89,LAMBERT II,152982,LEROY MERLIN,LEROY MERLIN LESQUIN,le Moulin Lesquin,5 ROUTE DE DOUAI,,59810,59,LESQUIN,FRA,25/03/1985,17300
1,5942600,QLM,2021,50.741934,3.142571,656978.9427,2638954.057,LAMBERT II,153039,LEROY MERLIN,LEROY MERLIN NEUVILLE EN FERRAIN,zac du Petit Menin,,,59960,59,NEUVILLE EN FERRAIN,FRA,02/04/2019,13800
1,6005704,QLM,2021,49.4379855,2.1173588,584037.2703,2493415.209,LAMBERT II,153049,LEROY MERLIN,LEROY MERLIN BEAUVAIS,pae du Haut Ville,RUE JEAN-BAPTISTE GODIN,,60000,60,BEAUVAIS,FRA,19/10/2016,11500
1,6032500,QLM,2021,49.404257,2.7836869,632434.3136,2489730.255,LAMBERT II,153110,LEROY MERLIN,LEROY MERLIN JAUX,,154 RUE DES METIERS,,60880,60,JAUX,FRA,04/12/1986,12000
1,6204102,QLM,2021,50.3010702,2.7279142,627886.0891,2589589.924,LAMBERT II,153027,LEROY MERLIN,LEROY MERLIN ARRAS,,RUE LEON FOUCAULT,,62000,62,ARRAS,FRA,09/07/1975,10500
1,6219314,QLM,2021,50.9462514,1.8115738,562961.2318,2661570.795,LAMBERT II,153026,LEROY MERLIN,LEROY MERLIN CALAIS,cc Auchan,1930 AV ROGER SALENGRO,,62100,62,CALAIS,FRA,24/10/2007,10000
1,6284800,QLM,2021,50.5074029,2.6446053,621849.8205,2612558.88,LAMBERT II,153099,LEROY MERLIN,LEROY MERLIN VERQUIN,,RUE JEAN JAURES,,62131,62,VERQUIN,FRA,22/10/2008,13225
1,6257100,QLM,2021,50.4513848,1.6129775,548459.6627,2606509.85,LAMBERT II,153022,LEROY MERLIN,LEROY MERLIN MERLIMONT,,460 RUE AUGUSTE BIBLOCQ,,62155,62,MERLIMONT,FRA,31/12/1952,7000
1,6275800,QLM,2021,50.7325503,1.6741303,553075.8339,2637813.805,LAMBERT II,153104,LEROY MERLIN,LEROY MERLIN SAINT MARTIN BOULOGNE,CC Auchan,N 42,,62280,62,SAINT MARTIN BOULOGNE,FRA,01/06/1987,9500
1,6284200,QLM,2021,50.4605096,2.8290607,634994.3928,2607398.893,LAMBERT II,153067,LEROY MERLIN,LEROY MERLIN VENDIN LE VIEIL,zac Lens 2,N 347,,62880,62,VENDIN LE VIEIL,FRA,01/12/1972,11650
1,8002112,QLM,2021,49.9051165,2.3061905,597767.1111,2545409.186,LAMBERT II,153108,LEROY MERLIN,LEROY MERLIN AMIENS,,8 RUE LE GRECO,,80000,80,AMIENS,FRA,31/12/1979,13139
1,8048900,QLM,2021,49.8671994,2.3674408,602175.0162,2541186.034,LAMBERT II,153009,LEROY MERLIN,LEROY MERLIN LONGUEAU,,PASSAGE DU RAYON VERT,,80330,80,LONGUEAU,FRA,31/12/1959,9589
