num_bu,cod_entite_geo,typ_entite_geo,cod_version,lat_wgs84,long_wgs84,x_centroide,y_centroide,cod_sys_coor,cod_conc,cod_ens_conc,lib_mag,lib_adr001,lib_adr002,lib_adr003,cod_pst,dpt,lib_vil,cod_pays,dat_ouv,nbr_surf_mag_tot
1,0215700,QLM,2021,49.5873998,3.6504876,695061.1653,2510821.795,LAMBERT II,158517,MR BRICOLAGE,MR BRICOLAGE CHAMBRY,,1 RUE JEAN JAURES,,02000,2,CHAMBRY,FRA,31/12/1979,5950
1,0281000,QLM,2021,49.2385485,3.1010976,655672.2883,2471463.357,LAMBERT II,158527,MR BRICOLAGE,MR BRICOLAGE VILLERS COTTERETS,za de la Queue d'Oigny,,,02600,2,VILLERS COTTERETS,FRA,17/12/1998,3349
1,5901100,QLM,2021,50.5286422,2.9437615,643096.7403,2615049.895,LAMBERT II,158622,MR BRICOLAGE,MR BRICOLAGE ANNOEULLIN,zac de la Fontinelle,RUE LAVOISIER,,59112,59,ANNOEULLIN,FRA,04/07/2007,2990
1,5958700,QLM,2021,50.8051339,2.5848933,617500.6195,2645736.836,LAMBERT II,158416,MR BRICOLAGE,MR BRICOLAGE TERDEGHEM,,97 RTE D'EECKE,,59114,59,TERDEGHEM,FRA,25/02/1988,2820
1,5939000,QLM,2021,50.3383072,3.202576,661719.545,2594009.941,LAMBERT II,158544,MR BRICOLAGE,MR BRICOLAGE MASNY,,AV DU 8 MAI 1945,,59176,59,MASNY,FRA,01/11/2008,1978
1,5929503,QLM,2021,50.7357899,2.5520014,615197.5232,2637997.841,LAMBERT II,158469,MR BRICOLAGE,MR BRICOLAGE HAZEBROUCK,,RUE CREULE STRAETE,,59190,59,HAZEBROUCK,FRA,12/04/2006,3950
1,5920200,QLM,2021,50.6817472,2.8707686,637794.5054,2632079.866,LAMBERT II,158520,MR BRICOLAGE,MR BRICOLAGE ERQUINGHEM LYS,,5 RUE D'ERQUINGHEM,,59280,59,ERQUINGHEM LYS,FRA,01/10/1984,2500
1,5913900,QLM,2021,50.1149537,3.4180456,677428.9249,2569315.736,LAMBERT II,158422,MR BRICOLAGE,MR BRICOLAGE CAUDRY,,BD DU 19 MARS 1962,,59540,59,CAUDRY,FRA,31/12/1957,1350
1,5924900,QLM,2021,50.02237127,4.033987185,721771.5689,2559783.947,LAMBERT II,158479,MR BRICOLAGE,MR BRICOLAGE FOURMIES,59 Rue du General Raymond Chomel,,,59610,59,FOURMIES,FRA,01/12/2021,2200
1,6000900,QLM,2021,49.4072971,2.1207393,584273.2863,2489998.223,LAMBERT II,158646,MR BRICOLAGE,MR BRICOLAGE ALLONNE,zac de Merlemont,3 RUE THEODORE MONOD,,60000,60,ALLONNE,FRA,31/12/1982,8000
1,6201400,QLM,2021,50.6354876,2.4131931,605386.1067,2626796.84,LAMBERT II,158681,MR BRICOLAGE,MR BRICOLAGE AIRE SUR LA LYS,CC Val de Lys,RUE MONNET,,62120,62,AIRE SUR LA LYS,FRA,12/07/1990,3750
1,6254900,QLM,2021,50.3702976,2.03059,578142.9505,2597277.875,LAMBERT II,158554,MR BRICOLAGE,MR BRICOLAGE MARCONNE,,1 AV DE BOULOGNE,,62140,62,MARCONNE,FRA,01/12/1979,5768
1,6251600,QLM,2021,50.5549535,2.4957582,611258.3607,2617827.862,LAMBERT II,158501,MR BRICOLAGE,MR BRICOLAGE LILLERS,zi,RUE DE VERDUN,,62190,62,LILLERS,FRA,20/10/1986,1454
1,6206501,QLM,2021,50.4131966,2.8359976,635521.4172,2602128.908,LAMBERT II,158605,MR BRICOLAGE,MR BRICOLAGE AVION,,14 RUE RENE LANNOY,,62210,62,AVION,FRA,01/06/1976,1170
1,6241300,QLM,2021,50.4477581,2.8662855,637652.509,2605994.894,LAMBERT II,158470,MR BRICOLAGE,MR BRICOLAGE HARNES,RN 17,25 RTE DE LILLE,,62440,62,HARNES,FRA,15/05/1986,2049
1,6206400,QLM,2021,50.1030823,2.8398877,636019.4493,2567575.979,LAMBERT II,158614,MR BRICOLAGE,MR BRICOLAGE AVESNES LES BAPAUME,,6 RTE D'ALBERT,,62450,62,AVESNES LES BAPAUME,FRA,21/02/1992,1600
1,8002105,QLM,2021,49.8917149,2.292033,596747.7773,2543917.016,LAMBERT II,158415,MR BRICOLAGE,MR BRICOLAGE AMIENS,,15 RUE DE LATTRE DE TASSIGNY,,80000,80,AMIENS,FRA,1852-12-31,3500
1,8000104,QLM,2021,50.1024311,1.8511959,565171.4181,2567495.939,LAMBERT II,158652,MR BRICOLAGE,MR BRICOLAGE ABBEVILLE,zac de la Sauvagine,RTE D'AMIENS,,80100,80,ABBEVILLE,FRA,26/08/2009,3580
1,8001600,QLM,2021,49.9934595,2.6582257,623051.9,2555295.995,LAMBERT II,158608,MR BRICOLAGE,MR BRICOLAGE ALBERT,,2 CHEMIN CROISE DE BELLEVUE,,80300,80,ALBERT,FRA,19/03/2008,4650
